Entity,Code,Day,Central estimate,"Lower bound, 95% uncertainty interval",Upper bound,"Confirmed COVID-19 deaths (per 100,000)"
Afghanistan,AFG,2024-06-17,422.1163,152.53061,518.8153,19.709776
Albania,ALB,2024-06-17,550.91364,520.8726,584.6845,127.49265
Algeria,DZA,2024-06-17,294.5267,77.499245,464.23813,15.130595
Andorra,AND,2024-06-17,223.76707,105.41971,701.0453,199.44307
Angola,AGO,2024-06-17,149.25598,37.14853,417.57974,5.4356627
Antigua and Barbuda,ATG,2024-06-17,-136.39189,-244.94048,120.618065,157.24286
Argentina,ARG,2024-06-17,614.691,388.97656,614.691,287.75607
Armenia,ARM,2024-06-17,471.62216,421.23987,907.2889,304.69858
Australia,AUS,2024-06-17,163.19267,135.7709,163.19267,96.31698
Austria,AUT,2024-06-17,367.599,355.57343,367.599,248.5913
Azerbaijan,AZE,2024-06-17,321.8272,228.71951,622.0599,100.56038
Bahamas,BHS,2024-06-17,410.38293,247.69241,542.08276,213.31079
Bahrain,BHR,2024-06-17,258.8425,157.37122,622.1434,100.16564
Bangladesh,BGD,2024-06-17,518.3162,184.60551,780.65607,17.413595
Barbados,BRB,2024-06-17,342.35962,247.07529,365.05807,210.04236
Belarus,BLR,2024-06-17,852.3417,487.1061,953.8135,77.59527
Belgium,BEL,2024-06-17,321.26468,309.5935,321.26468,294.96262
Belize,BLZ,2024-06-17,194.02904,129.36787,289.23013,170.82939
Benin,BEN,2024-06-17,177.60036,-24.269716,453.71024,1.1846355
Bhutan,BTN,2024-06-17,-65.72443,-165.12738,74.22164,2.6891325
Bolivia,BOL,2024-06-17,546.754,497.474,750.65393,185.36649
Bosnia and Herzegovina,BIH,2024-06-17,796.25183,764.6597,809.3897,511.35764
Botswana,BWA,2024-06-17,190.75377,190.75377,695.2853,114.800026
Brazil,BRA,2024-06-17,433.6395,411.819,433.6395,333.85382
Brunei,BRN,2024-06-17,160.94974,47.73177,278.72513,39.08875
Bulgaria,BGR,2024-06-17,965.4326,953.0623,976.2477,566.8295
Burkina Faso,BFA,2024-06-17,194.56854,-7.710226,477.89505,1.777064
Burundi,BDI,2024-06-17,224.19203,-28.33556,443.05057,0.1126033
Cambodia,KHM,2024-06-17,498.48837,111.7548,533.7677,17.765665
Cameroon,CMR,2024-06-17,218.1995,52.517757,551.2477,7.143692
Canada,CAN,2024-06-17,224.95798,176.99864,237.6471,142.28287
Cape Verde,CPV,2024-06-17,189.85352,99.82488,281.61493,80.23088
Central African Republic,CAF,2024-06-17,174.99266,-22.86352,460.82916,2.216539
Chad,TCD,2024-06-17,222.954,-20.28706,540.4602,1.0511875
Chile,CHL,2024-06-17,367.35086,360.25684,371.1946,320.77377
China,CHN,2024-06-17,185.39146,33.109898,523.52435,8.578147
Colombia,COL,2024-06-17,407.60077,333.16757,433.5575,275.86523
Comoros,COM,2024-06-17,216.25865,9.498128,450.77713,19.18026
Congo,COG,2024-06-17,134.56165,-31.576887,525.46844,6.445622
Costa Rica,CRI,2024-06-17,202.09488,111.88436,237.22824,184.40446
Cote d'Ivoire,CIV,2024-06-17,138.35547,-16.950655,385.5921,
Croatia,HRV,2024-06-17,695.4473,685.8416,702.8061,479.95523
Cuba,CUB,2024-06-17,556.96185,495.33316,641.92554,77.126015
Cyprus,CYP,2024-06-17,216.03195,202.52841,220.8391,145.04837
Czechia,CZE,2024-06-17,441.88782,426.0692,442.26993,407.62784
Democratic Republic of Congo,COD,2024-06-17,331.7366,17.50306,484.99957,1.4365659
Denmark,DNK,2024-06-17,149.43564,140.02808,149.43564,164.2074
Djibouti,DJI,2024-06-17,125.3141,39.97407,569.96674,16.621214
Dominica,DMA,2024-06-17,130.10054,43.31996,487.34772,110.700554
Dominican Republic,DOM,2024-06-17,49.27271,15.951533,82.0615,39.03574
East Timor,TLS,2024-06-17,158.05852,21.945555,449.7413,10.07815
Ecuador,ECU,2024-06-17,503.92206,493.3257,503.92206,202.25652
Egypt,EGY,2024-06-17,339.14233,327.87778,362.37527,22.047935
